Csnum number,Window number
2,5
id,maxCapacity,minSOC,chrDisPerHour,favouriteChargingStation,favouriteTimeSlots,constraintsPenalty,soccurrent
8,22,20,18,1,1;5,5;3,23
14,41,20,22,1,1;5,5;3,12
5,24,20,20,2,1;2;3;5,5;3,30
11,22,20,18,2,1;2;3;5,5;3,32
9,22,20,18,1,1;2;3;4;5,5;3,27
16,22,20,18,1,1;2;3;5,3;5,13
0,22,20,18,2,1;2,5;3,11
1,24,20,20,2,2;5,5;3,30
17,61,20,28,1,1;3,3;5,12
6,22,20,18,1,1;3;4;5,3;5,23
13,41,20,22,2,3,5;3,11
2,24,20,20,2,3,5;3,11
3,41,20,22,1,1;2;4;5,5;3,24
4,22,20,18,1,1;2;4,5;3,35
12,41,20,22,2,4;5,3;5,23
10,24,20,20,2,4,5;3,16
19,41,20,22,1,2;5,3;5,33
7,61,20,28,1,1;2;4;5,3;5,19
15,41,20,22,2,1;2;5,3;5,11
18,22,20,18,2,1;3;4;5,5;3,19
